Població de 2 anys i més segons coneixement del català
Municipis. 2011
"Font: Idescat, a partir del Cens de població i habitatges de l'INE."
.. Informació no disponible. Vegeu metodologia.

"El Cens 2011 inclou dades provinents d'enquesta. Els resultats han estat convenientment arrodonits i es mostren sense decimals. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació per sexe, edat o territori."
 
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=censph&n=17&by=mun
Codi,Literal,L'entén,El sap parlar,El sap llegir,El sap escriure,No l'entén,Població de 2 anys i més
430542,"Espluga de Francolí, l'",3636,3122,3291,2348,..,3679,
080771,Esplugues de Llobregat,41978,28818,32757,20915,2879,44857,
170643,Espolla,404,361,367,275,..,409,
170656,Esponellà,437,415,400,331,0,437,
250827,Espot,339,253,276,208,0,339,
080787,"Espunyola, l'",260,256,249,178,0,260,
082541,"Esquirol, l'",2110,1972,1965,1629,..,2124,
250886,Estamariu,113,106,105,59,..,115,
080790,"Estany, l'",372,353,340,265,0,372,
250851,Estaràs,166,155,159,121,0,166,
250864,Esterri d'Àneu,847,747,746,583,..,858,
250870,Esterri de Cardós,72,72,72,62,0,72,
430555,Falset,2653,2278,2328,1914,..,2783,
170059,"Far d'Empordà, el",528,444,434,292,..,544,
250899,Farrera,136,122,120,116,0,136,
430568,"Fatarella, la",1071,954,972,614,..,1077,
430574,"Febró, la",49,49,49,31,0,49,
081347,Figaró-Montmany,992,876,916,727,..,1005,
080804,Fígols,46,45,45,36,0,46,
259084,Fígols i Alinyà,269,261,261,205,0,269,
430580,"Figuera, la",125,121,119,98,0,125,
170669,Figueres,40595,29057,31997,22616,2405,43000,
430593,Figuerola del Camp,330,309,307,263,0,330,
170675,Flaçà,1024,956,940,708,..,1042,
430607,Flix,3741,3285,3305,2346,..,3750,
250925,"Floresta, la",163,149,156,111,..,169,
080826,Fogars de la Selva,1457,1117,1216,779,..,1495,
080811,Fogars de Montclús,433,414,415,320,..,437,
170681,Foixà,299,273,286,221,..,303,
080832,Folgueroles,2166,2069,2000,1828,0,2166,
250931,Fondarella,807,737,742,576,..,815,
080847,Fonollosa,1361,1134,1162,934,..,1392,
170694,Fontanals de Cerdanya,471,444,442,383,0,471,
170708,Fontanilles,158,153,138,108,..,161,
170715,Fontcoberta,1234,1137,1124,918,..,1312,
080850,Font-rubí,1400,1328,1271,977,..,1402,
250946,Foradada,179,169,173,123,..,183,
179026,Forallac,1594,1510,1461,1182,..,1666,
430614,Forès,51,48,51,25,0,51,
170736,Fornells de la Selva,2350,2196,2158,1805,0,2350,
170741,Fortià,645,570,580,450,0,645,
080863,"Franqueses del Vallès, les",17263,13310,14517,10502,917,18180,
430629,Freginals,452,425,424,253,0,452,
250962,"Fuliola, la",1200,990,1004,723,..,1259,
250978,Fulleda,102,100,95,68,0,102,
080902,Gaià,162,154,144,117,..,164,
430635,"Galera, la",812,680,706,442,..,821,
080879,Gallifa,201,190,192,160,0,201,
430640,Gandesa,2956,2687,2627,1863,..,3013,
430653,Garcia,550,501,493,351,..,568,
430666,"Garidells, els",189,175,180,133,0,189,
080885,"Garriga, la",14650,12379,13061,10256,192,14841,
170754,Garrigàs,370,324,328,262,..,373,
170767,Garrigoles,156,146,147,121,..,159,
170773,Garriguella,799,719,720,552,..,821,
080898,Gavà,43139,31031,34930,22925,2096,45235,
250984,Gavet de la Conca,305,274,251,168,..,310,
080919,Gelida,6543,5547,5589,4223,128,6671,
170789,Ger,445,414,393,326,0,445,
259123,Gimenells i el Pla de la Font,1092,855,878,578,..,1131,
430672,Ginestar,870,712,715,456,..,905,
170792,Girona,89279,74991,78324,61843,4067,93346,
080924,Gironella,4662,4165,4295,3148,144,4806,
080930,Gisclareny,..,..,..,..,..,..,
430688,Godall,755,570,604,343,..,770,
250997,Golmés,1666,1491,1509,1208,..,1717,
170806,Gombrèn,198,181,188,142,..,199,
251001,Gósol,227,214,217,164,0,227,
080945,"Granada, la",1951,1708,1713,1316,..,1993,
251018,"Granadella, la",687,620,604,401,..,711,
080958,Granera,..,..,..,..,..,..,
251023,"Granja d'Escarp, la",906,716,710,425,..,938,
080961,Granollers,55593,42037,44657,32172,2290,57884,
251039,Granyanella,146,135,125,86,0,146,
251057,Granyena de les Garrigues,165,152,153,100,..,172,
251044,Granyena de Segarra,132,116,121,73,0,132,
430691,Gratallops,251,222,230,175,..,254,
080977,Gualba,1260,1127,1154,871,..,1286,
170813,Gualta,390,341,346,233,0,390,
080996,Guardiola de Berguedà,972,844,882,637,..,984,
430705,"Guiamets, els",300,286,291,217,..,302,
170828,Guils de Cerdanya,518,479,490,351,0,518,
251095,Guimerà,312,294,297,183,0,312,
259031,"Guingueta d'Àneu, la",333,295,298,221,..,338,
251109,Guissona,5354,3527,3878,2764,1026,6379,
251116,Guixers,128,121,116,96,0,128,
081000,Gurb,2529,2385,2321,2064,..,2535,
430712,Horta de Sant Joan,1253,969,1046,613,..,1268,
081017,"Hospitalet de Llobregat, l'",228536,137300,162583,99459,22287,250822,
081629,"Hostalets de Pierola, els",2560,2097,2154,1560,212,2772,
170834,Hostalric,3612,2981,3085,2166,233,3845,
081022,Igualada,36560,31087,31864,24407,1551,38112,
251155,Isona i Conca Dellà,1063,938,946,670,..,1065,
170849,Isòvol,309,278,278,200,0,309,
251137,Ivars d'Urgell,1462,1312,1319,1043,..,1602,
251121,Ivars de Noguera,356,285,324,204,..,359,
251142,Ivorra,114,113,107,86,0,114,
170852,Jafre,401,367,361,273,..,405,
170865,"Jonquera, la",2851,1838,2109,1266,222,3074,
081038,Jorba,796,721,747,597,..,804,
259101,Josa i Tuixén,139,126,137,101,0,139,
170871,Juià,319,301,296,246,..,321,
