Població de 16 anys i més segons nivell d'instrucció
Municipis. 2011
"Font: Idescat, a partir del Cens de població i habitatges de l'INE."
.. Informació no disponible. Vegeu metodologia.

"El Cens 2011 inclou dades provinents d'enquesta. Els resultats han estat convenientment arrodonits i es mostren sense decimals. Per aquesta raó algun total pot no coincidir amb la suma de la seva desagregació per sexe, edat o territori."
 
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=censph&n=15&by=mun
Codi,Literal,No sap llegir o escriure,Sense estudis,Educació primària,ESO,Batxillerat superior,FP grau mitjà,FP grau superior,Diplomatura,Grau universitari,Llicenciatura i doctorat,Total
251370,Mollerussa,..,917,1550,4046,1617,1049,932,786,..,610,11736,
081249,Mollet del Vallès,967,4131,6091,14077,4789,3620,3913,2148,316,2313,42364,
081271,Monistrol de Montserrat,..,238,278,857,326,190,222,130,..,117,2497,
430862,Montblanc,141,311,999,2123,613,394,639,548,..,417,6259,
430884,Montbrió del Camp,..,87,340,670,157,235,182,169,..,192,2048,
081252,Montcada i Reixac,605,2846,3543,9323,3723,2001,2490,1296,318,1765,27912,
251403,Montferrer i Castellbò,..,..,111,193,116,71,97,64,..,93,848,
081265,Montgat,..,480,1345,2422,965,819,912,780,208,920,8939,
430901,"Montmell, el",..,88,255,394,174,170,80,..,..,..,1241,
081350,Montmeló,115,805,1129,2349,954,542,570,309,..,276,7147,
081363,Montornès del Vallès,900,1709,1665,3987,1332,1197,951,524,..,618,13007,
171100,Mont-ras,53,121,185,637,184,103,92,69,..,72,1530,
430923,Mont-roig del Camp,..,634,1683,3104,1182,985,817,653,402,703,10265,
430939,Móra d'Ebre,..,503,645,1178,556,339,485,250,..,383,4518,
430944,Móra la Nova,..,361,387,757,274,220,235,113,..,251,2680,
430957,"Morell, el",..,209,419,742,232,451,350,139,..,170,2857,
250254,Naut Aran,..,..,..,344,274,..,..,..,..,..,1441,
081402,Navarcles,99,543,690,1768,444,472,355,294,..,296,5002,
081419,Navàs,..,495,870,1683,467,559,391,333,..,193,5115,
171117,Navata,..,..,123,301,150,70,124,66,..,121,990,
081430,Òdena,70,311,372,1120,297,220,250,112,..,156,2942,
081458,Olèrdola,..,203,453,1019,375,186,194,137,..,163,2785,
081461,Olesa de Bonesvalls,..,114,194,418,201,171,129,59,..,74,1408,
081477,Olesa de Montserrat,555,1536,2599,5733,2288,1448,1850,1283,235,1450,18977,
251497,Oliana,..,98,315,576,158,90,152,103,..,97,1636,
081483,Olivella,..,185,..,693,584,222,399,252,..,225,2887,
081496,Olost,..,72,175,385,109,93,54,72,..,51,1037,
171143,Olot,794,2777,5076,8308,3230,1926,1588,1594,673,1665,27632,
081555,Palafolls,204,476,711,2751,804,659,589,463,..,317,7066,
171175,Palafrugell,669,2770,2932,6204,2271,1119,914,668,320,757,18623,
171181,Palamós,264,1322,2355,5009,1842,1259,550,799,272,1221,14895,
251581,"Palau d'Anglesola, el",..,140,348,570,198,141,155,137,..,95,1808,
171208,Palau-saverdera,..,..,178,404,145,53,88,79,..,127,1162,
081568,Palau-solità i Plegamans,..,978,1613,3370,1424,1069,1007,803,163,853,11355,
431009,"Pallaresos, els",..,..,281,768,569,373,458,256,..,353,3311,
081574,Pallejà,248,580,925,2569,1245,906,671,625,175,836,8781,
089058,"Palma de Cervelló, la",..,106,270,606,403,253,278,226,64,250,2464,
171241,Pals,..,114,210,665,630,134,..,233,..,139,2267,
081580,"Papiol, el",..,287,326,1170,410,160,327,239,..,265,3298,
081593,Parets del Vallès,190,1590,1350,4795,1779,1260,1520,988,218,1192,14881,
431037,Perafort,..,37,94,212,134,90,149,135,..,109,994,
171328,Peralada,..,52,262,376,335,82,99,106,66,188,1568,
431042,"Perelló, el",..,315,452,882,186,271,356,118,..,126,2771,
081614,Piera,281,1128,1524,4400,1309,1072,1000,457,204,499,11874,
081635,Pineda de Mar,545,2209,3389,8309,2530,1286,991,884,515,933,21592,
431068,"Pinell de Brai, el",..,103,236,393,60,58,49,..,..,36,978,
431080,"Pla de Santa Maria, el",..,102,287,751,144,172,233,137,..,147,2005,
081640,"Pla del Penedès, el",..,57,166,343,88,100,55,74,..,58,968,
171334,"Planes d'Hostoles, les",..,137,315,488,89,61,133,61,..,146,1470,
081653,"Pobla de Claramunt, la",..,115,269,673,204,151,152,102,..,107,1807,
081666,"Pobla de Lillet, la",..,101,189,477,54,81,39,39,..,63,1094,
431093,"Pobla de Mafumet, la",..,138,361,911,..,176,383,115,..,142,2315,
431114,"Pobla de Montornès, la",..,137,394,687,235,270,197,120,..,218,2333,
251713,"Pobla de Segur, la",..,277,477,779,421,104,195,163,..,141,2684,
081672,Polinyà,..,373,850,2313,732,633,619,355,..,344,6297,
251734,"Pont de Suert, el",..,170,356,491,454,..,136,218,..,122,2111,
081825,"Pont de Vilomara i Rocafort, el",..,341,453,1313,325,200,150,92,..,134,3036,
251728,Ponts,..,95,428,742,244,215,176,128,..,148,2213,
171371,Porqueres,..,209,568,1164,470,290,346,259,..,170,3573,
171387,Portbou,..,109,135,481,208,..,..,..,..,73,1164,
081691,"Prat de Llobregat, el",938,6098,7232,16755,6305,4521,4543,2489,693,2793,52368,
081712,Prats de Lluçanès,..,145,473,826,223,130,170,99,..,122,2227,
082303,Premià de Dalt,..,537,880,1929,1512,520,587,794,337,1237,8399,
081727,Premià de Mar,749,1863,2585,6310,3177,1494,1826,1842,564,2569,22979,
171390,"Preses, les",..,124,183,507,131,110,94,151,..,102,1428,
171411,Puigcerdà,..,535,1393,2203,1005,494,334,559,231,536,7333,
431191,Puigpelat,..,57,91,275,51,104,150,35,..,20,814,
